shipment_id,shipment_category,origin_city,destination_city,distance_km,transport_mode,weight_kg,volume_m3,delivery_time_days,cost_SAR,fuel_cost_SAR,carrier_type,delivery_status,pickup_datetime,dropoff_datetime,num_packages,customer_type
SH000001,food,Riyadh,Makkah,285.0,small_van,44.83,0.24,1,419.83,149.53,3PL,in_transit,2023-08-05 18:21:03,2023-08-06 19:21:03,3,B2C
SH000002,livestock,Riyadh,Riyadh,28.7,motorbike,21.69,0.07,1,58.73,25.7,3PL,on_time,2023-12-28 10:13:36,2023-12-29 18:13:36,5,B2C
SH000003,furniture,Hail,Abha,95.5,small_van,399.41,1.02,1,148.55,82.49,in_house,on_time,2025-07-04 09:25:01,2025-07-05 13:25:01,2,B2C
SH000004,electronics,Abha,Madinah,177.5,cargo_van,89.1,0.32,1,355.11,143.98,3PL,in_transit,2023-12-01 11:28:43,2023-12-02 16:28:43,6,B2C
SH000005,food,Abha,Jeddah,198.6,cargo_van,39.22,0.11,1,391.79,153.69,postal_service,delayed,2025-07-26 20:32:16,2025-07-28 00:32:16,3,B2C
SH000006,building_materials,Hail,Jeddah,56.0,medium_truck,448.16,1.31,1,180.04,82.38,private_courier,on_time,2025-05-07 13:33:59,2025-05-08 17:33:59,3,retail
SH000007,furniture,Jeddah,Riyadh,99.0,refrigerated_truck,138.17,0.37,1,397.12,229.63,3PL,on_time,2024-03-25 13:09:54,2024-03-26 14:09:54,4,B2B
SH000008,food,Abha,Makkah,139.7,medium_truck,53.45,0.19,1,359.72,152.8,postal_service,on_time,2023-09-10 16:11:03,2023-09-11 21:11:03,2,retail
SH000009,furniture,Makkah,Jeddah,124.2,heavy_truck,231.4,0.75,1,394.85,243.93,3PL,on_time,2025-04-09 18:10:40,2025-04-10 21:10:40,4,B2B
SH000010,building_materials,Abha,Makkah,287.7,refrigerated_truck,381.61,1.37,1,933.43,388.9,3PL,on_time,2024-05-18 18:08:11,2024-05-19 18:08:11,5,B2B
SH000011,general_goods,Madinah,Abha,210.9,cargo_van,9.16,0.06,1,366.0,158.7,private_courier,in_transit,2023-11-24 18:00:37,2023-11-25 23:00:37,2,B2B
SH000012,building_materials,Abha,Tabuk,213.8,small_van,495.14,2.36,1,285.25,131.31,postal_service,on_time,2023-08-05 21:47:44,2023-08-07 00:47:44,4,retail
SH000013,livestock,Jazan,Abha,523.0,cargo_van,349.02,1.69,1,1052.46,490.47,3PL,in_transit,2023-08-03 21:22:52,2023-08-05 05:22:52,2,wholesale
SH000014,food,Riyadh,Jeddah,114.8,small_van,37.42,0.11,1,184.9,94.09,3PL,on_time,2024-10-17 19:15:51,2024-10-18 20:15:51,4,wholesale
SH000015,livestock,Jazan,Tabuk,432.1,heavy_truck,118.92,0.34,1,1325.26,467.5,postal_service,on_time,2025-05-09 09:45:22,2025-05-10 09:45:22,1,B2C
SH000016,cars,Madinah,Jeddah,344.3,cargo_van,1873.15,5.98,1,739.25,416.68,in_house,on_time,2023-09-03 16:32:54,2023-09-04 23:32:54,6,B2C
SH000017,cars,Hail,Dammam,79.8,heavy_truck,1345.64,3.42,1,325.25,191.39,private_courier,on_time,2025-08-29 08:52:51,2025-08-30 12:52:51,4,B2B
SH000018,electronics,Madinah,Dammam,340.7,heavy_truck,18.94,0.05,1,1020.12,470.32,private_courier,on_time,2025-07-19 10:16:21,2025-07-20 15:16:21,8,wholesale
SH000019,general_goods,Jeddah,Madinah,242.5,cargo_van,15.61,0.05,1,423.78,259.87,3PL,delayed,2023-03-31 23:36:24,2023-04-02 02:36:24,8,B2C
SH000020,food,Tabuk,Jeddah,96.1,heavy_truck,75.53,0.22,1,336.99,152.12,3PL,on_time,2023-07-19 10:46:50,2023-07-20 17:46:50,2,B2B
SH000021,cars,Hail,Jazan,681.1,medium_truck,1126.55,3.78,1,1758.0,890.73,3PL,delayed,2025-04-17 18:24:55,2025-04-18 21:24:55,2,retail
SH000022,livestock,Madinah,Tabuk,172.5,heavy_truck,702.38,2.12,1,594.56,300.19,in_house,on_time,2023-07-07 23:21:48,2023-07-09 02:21:48,3,B2B
SH000023,food,Madinah,Riyadh,286.3,heavy_truck,91.58,0.48,1,845.47,463.37,3PL,on_time,2025-07-03 02:38:15,2025-07-04 05:38:15,6,B2C
SH000024,food,Riyadh,Khobar,270.7,motorbike,69.23,0.4,1,292.66,144.0,private_courier,on_time,2024-05-28 07:16:01,2024-05-29 08:16:01,4,B2B
SH000025,cars,Tabuk,Khobar,462.4,heavy_truck,1212.83,3.33,1,1468.17,771.86,3PL,in_transit,2025-06-06 02:01:46,2025-06-07 09:01:46,6,B2B
SH000026,building_materials,Abha,Khobar,221.4,motorbike,233.83,0.65,1,227.81,135.4,private_courier,on_time,2025-10-20 16:39:27,2025-10-21 22:39:27,6,retail
SH000027,livestock,Abha,Tabuk,293.8,refrigerated_truck,133.36,0.53,1,1077.05,677.71,private_courier,delayed,2025-10-12 02:35:10,2025-10-13 03:35:10,5,B2C
SH000028,livestock,Madinah,Jeddah,404.0,small_van,315.4,2.07,2,609.55,230.04,3PL,on_time,2023-10-23 11:30:07,2023-10-25 19:30:07,6,wholesale
SH000029,electronics,Abha,Dammam,403.2,cargo_van,87.36,0.51,1,783.36,377.94,in_house,failed,2024-01-24 01:27:33,2024-01-25 02:27:33,2,wholesale
SH000030,food,Riyadh,Hail,136.5,motorbike,24.44,0.08,1,154.32,92.06,private_courier,delayed,2024-01-03 04:51:58,2024-01-04 06:51:58,1,wholesale
SH000031,building_materials,Tabuk,Khobar,402.5,medium_truck,235.27,0.7,1,878.15,546.13,private_courier,on_time,2023-09-13 18:07:00,2023-09-15 00:07:00,1,B2C
SH000032,livestock,Makkah,Tabuk,491.2,cargo_van,258.33,0.87,2,977.64,452.12,in_house,on_time,2025-05-13 08:32:41,2025-05-15 15:32:41,3,B2B
